"행정구역","2017년_전년인구수_남자인구수","2017년_전년인구수_여자인구수","2017년_전년인구수_계","2017년_당년인구수_남자인구수","2017년_당년인구수_여자인구수","2017년_당년인구수_계","2017년_인구증감_남자인구수","2017년_인구증감_여자인구수","2017년_인구증감_계","2018년_전년인구수_남자인구수","2018년_전년인구수_여자인구수","2018년_전년인구수_계","2018년_당년인구수_남자인구수","2018년_당년인구수_여자인구수","2018년_당년인구수_계","2018년_인구증감_남자인구수","2018년_인구증감_여자인구수","2018년_인구증감_계","2019년_전년인구수_남자인구수","2019년_전년인구수_여자인구수","2019년_전년인구수_계","2019년_당년인구수_남자인구수","2019년_당년인구수_여자인구수","2019년_당년인구수_계","2019년_인구증감_남자인구수","2019년_인구증감_여자인구수","2019년_인구증감_계","2020년_전년인구수_남자인구수","2020년_전년인구수_여자인구수","2020년_전년인구수_계","2020년_당년인구수_남자인구수","2020년_당년인구수_여자인구수","2020년_당년인구수_계","2020년_인구증감_남자인구수","2020년_인구증감_여자인구수","2020년_인구증감_계","2021년_전년인구수_남자인구수","2021년_전년인구수_여자인구수","2021년_전년인구수_계","2021년_당년인구수_남자인구수","2021년_당년인구수_여자인구수","2021년_당년인구수_계","2021년_인구증감_남자인구수","2021년_인구증감_여자인구수","2021년_인구증감_계","2022년_전년인구수_남자인구수","2022년_전년인구수_여자인구수","2022년_전년인구수_계","2022년_당년인구수_남자인구수","2022년_당년인구수_여자인구수","2022년_당년인구수_계","2022년_인구증감_남자인구수","2022년_인구증감_여자인구수","2022년_인구증감_계","2023년_전년인구수_남자인구수","2023년_전년인구수_여자인구수","2023년_전년인구수_계","2023년_당년인구수_남자인구수","2023년_당년인구수_여자인구수","2023년_당년인구수_계","2023년_인구증감_남자인구수","2023년_인구증감_여자인구수","2023년_인구증감_계","2024년_전년인구수_남자인구수","2024년_전년인구수_여자인구수","2024년_전년인구수_계","2024년_당년인구수_남자인구수","2024년_당년인구수_여자인구수","2024년_당년인구수_계","2024년_인구증감_남자인구수","2024년_인구증감_여자인구수","2024년_인구증감_계"
"경기도 양주시 (4163000000)","104,235","101,278","205,513","107,650","104,496","212,146","3,415","3,218","6,633","107,650","104,496","212,146","109,978","106,973","216,951","2,328","2,477","4,805","109,978","106,973","216,951","112,775","109,539","222,314","2,797","2,566","5,363","112,775","109,539","222,314","116,916","113,443","230,359","4,141","3,904","8,045","116,916","113,443","230,359","119,835","116,533","236,368","2,919","3,090","6,009","119,835","116,533","236,368","123,173","120,259","243,432","3,338","3,726","7,064","123,173","120,259","243,432","135,376","132,650","268,026","12,203","12,391","24,594","135,376","132,650","268,026","145,474","143,531","289,005","10,098","10,881","20,979"
"경기도 양주시 백석읍(4163025000)","14,483","14,097","28,580","14,213","13,820","28,033","-270","-277","-547","14,213","13,820","28,033","13,875","13,618","27,493","-338","-202","-540","13,875","13,618","27,493","13,477","13,285","26,762","-398","-333","-731","13,477","13,285","26,762","13,348","13,083","26,431","-129","-202","-331","13,348","13,083","26,431","13,323","13,007","26,330","-25","-76","-101","13,323","13,007","26,330","13,121","12,764","25,885","-202","-243","-445","13,121","12,764","25,885","12,723","12,421","25,144","-398","-343","-741","12,723","12,421","25,144","12,823","12,595","25,418","100","174","274"
"경기도 양주시 은현면(4163031000)","3,803","2,997","6,800","3,701","2,890","6,591","-102","-107","-209","3,701","2,890","6,591","3,579","2,813","6,392","-122","-77","-199","3,579","2,813","6,392","3,495","2,726","6,221","-84","-87","-171","3,495","2,726","6,221","3,397","2,572","5,969","-98","-154","-252","3,397","2,572","5,969","3,310","2,510","5,820","-87","-62","-149","3,310","2,510","5,820","3,216","2,426","5,642","-94","-84","-178","3,216","2,426","5,642","3,125","2,330","5,455","-91","-96","-187","3,125","2,330","5,455","2,976","2,197","5,173","-149","-133","-282"
"경기도 양주시 남면(4163032000)","4,193","3,457","7,650","4,146","3,372","7,518","-47","-85","-132","4,146","3,372","7,518","4,082","3,329","7,411","-64","-43","-107","4,082","3,329","7,411","4,028","3,222","7,250","-54","-107","-161","4,028","3,222","7,250","3,915","3,089","7,004","-113","-133","-246","3,915","3,089","7,004","3,882","3,081","6,963","-33","-8","-41","3,882","3,081","6,963","3,847","2,992","6,839","-35","-89","-124","3,847","2,992","6,839","3,637","2,806","6,443","-210","-186","-396","3,637","2,806","6,443","3,472","2,679","6,151","-165","-127","-292"
"경기도 양주시 광적면(4163033000)","6,419","5,545","11,964","6,743","5,823","12,566","324","278","602","6,743","5,823","12,566","6,800","5,827","12,627","57","4","61","6,800","5,827","12,627","6,627","5,648","12,275","-173","-179","-352","6,627","5,648","12,275","6,436","5,512","11,948","-191","-136","-327","6,436","5,512","11,948","6,427","5,442","11,869","-9","-70","-79","6,427","5,442","11,869","6,312","5,316","11,628","-115","-126","-241","6,312","5,316","11,628","6,046","5,078","11,124","-266","-238","-504","6,046","5,078","11,124","5,802","4,879","10,681","-244","-199","-443"
"경기도 양주시 장흥면(4163034000)","5,137","4,964","10,101","5,267","5,020","10,287","130","56","186","5,267","5,020","10,287","5,298","5,080","10,378","31","60","91","5,298","5,080","10,378","5,268","5,053","10,321","-30","-27","-57","5,268","5,053","10,321","5,358","5,084","10,442","90","31","121","5,358","5,084","10,442","5,583","5,300","10,883","225","216","441","5,583","5,300","10,883","5,872","5,549","11,421","289","249","538","5,872","5,549","11,421","6,023","5,784","11,807","151","235","386","6,023","5,784","11,807","6,020","5,893","11,913","-3","109","106"
"경기도 양주시 양주1동(4163051000)","3,253","2,993","6,246","3,111","2,876","5,987","-142","-117","-259","3,111","2,876","5,987","3,009","2,754","5,763","-102","-122","-224","3,009","2,754","5,763","2,907","2,662","5,569","-102","-92","-194","2,907","2,662","5,569","2,822","2,555","5,377","-85","-107","-192","2,822","2,555","5,377","2,754","2,477","5,231","-68","-78","-146","2,754","2,477","5,231","2,608","2,396","5,004","-146","-81","-227","2,608","2,396","5,004","2,488","2,292","4,780","-120","-104","-224","2,488","2,292","4,780","2,342","2,196","4,538","-146","-96","-242"
"경기도 양주시 양주2동(4163052000)","26,683","27,720","54,403","26,213","27,176","53,389","-470","-544","-1,014","26,213","27,176","53,389","25,612","26,667","52,279","-601","-509","-1,110","25,612","26,667","52,279","25,111","26,186","51,297","-501","-481","-982","25,111","26,186","51,297","24,628","25,741","50,369","-483","-445","-928","24,628","25,741","50,369","24,510","25,543","50,053","-118","-198","-316","24,510","25,543","50,053","25,017","26,088","51,105","507","545","1,052","25,017","26,088","51,105","24,712","25,906","50,618","-305","-182","-487","24,712","25,906","50,618","24,088","25,243","49,331","-624","-663","-1,287"
"경기도 양주시 회천1동(4163053000)","5,368","5,018","10,386","5,238","4,884","10,122","-130","-134","-264","5,238","4,884","10,122","5,193","4,787","9,980","-45","-97","-142","5,193","4,787","9,980","5,223","4,737","9,960","30","-50","-20","5,223","4,737","9,960","5,167","4,633","9,800","-56","-104","-160","5,167","4,633","9,800","5,152","4,603","9,755","-15","-30","-45","5,152","4,603","9,755","5,031","4,468","9,499","-121","-135","-256","5,031","4,468","9,499","4,778","4,266","9,044","-253","-202","-455","4,778","4,266","9,044","4,548","4,146","8,694","-230","-120","-350"
"경기도 양주시 회천2동(4163054000)","14,602","14,150","28,752","14,271","13,851","28,122","-331","-299","-630","14,271","13,851","28,122","14,004","13,688","27,692","-267","-163","-430","14,004","13,688","27,692","13,893","13,570","27,463","-111","-118","-229","13,893","13,570","27,463","13,799","13,381","27,180","-94","-189","-283","13,799","13,381","27,180","13,805","13,480","27,285","6","99","105","13,805","13,480","27,285","13,758","13,495","27,253","-47","15","-32","13,758","13,495","27,253","18,429","18,162","36,591","4,671","4,667","9,338","18,429","18,162","36,591","22,730","22,481","45,211","4,301","4,319","8,620"
"경기도 양주시 회천3동(4163055000)","14,676","15,033","29,709","14,538","14,821","29,359","-138","-212","-350","14,538","14,821","29,359","14,265","14,558","28,823","-273","-263","-536","14,265","14,558","28,823","14,071","14,291","28,362","-194","-267","-461","14,071","14,291","28,362","13,756","13,970","27,726","-315","-321","-636","13,756","13,970","27,726","13,562","13,790","27,352","-194","-180","-374","13,562","13,790","27,352","13,184","13,430","26,614","-378","-360","-738","13,184","13,430","26,614","12,624","12,845","25,469","-560","-585","-1,145","12,624","12,845","25,469","12,373","12,613","24,986","-251","-232","-483"
"경기도 양주시 회천4동(4163056000)","5,618","5,304","10,922","10,209","9,963","20,172","4,591","4,659","9,250","10,209","9,963","20,172","14,261","13,852","28,113","4,052","3,889","7,941","14,261","13,852","28,113","18,675","18,159","36,834","4,414","4,307","8,721","18,675","18,159","36,834","24,290","23,823","48,113","5,615","5,664","11,279","24,290","23,823","48,113","27,527","27,300","54,827","3,237","3,477","6,714","27,527","27,300","54,827","31,207","31,335","62,542","3,680","4,035","7,715","31,207","31,335","62,542","0","0","0","-31,207","-31,335","-62,542","0","0","0","0","0","0","0","0","0"
"경기도 양주시 옥정1동(4163057000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15,014","14,458","29,472","15,014","14,458","29,472","15,014","14,458","29,472","19,944","19,363","39,307","4,930","4,905","9,835"
"경기도 양주시 옥정2동(4163058000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25,777","26,302","52,079","25,777","26,302","52,079","25,777","26,302","52,079","28,356","29,246","57,602","2,579","2,944","5,523"
